funding,team_experience,market_size,competition,business_model,years_operating,burn_rate,revenue_growth,debt_ratio,failure
1783249,2,4,5,1,4,0.91,0.447,1.373,1
5532185,5,5,5,1,1,0.445,1.138,1.892,0
893474,1,3,9,5,4,0.069,0.653,0.697,1
7739284,6,3,5,8,3,0.672,0.536,0.579,0
8239876,2,8,8,2,11,0.138,-0.279,1.593,1
3423975,9,6,5,3,5,0.405,1.391,0.819,0
3260494,2,4,1,8,1,0.918,1.219,1.132,1
8844097,7,7,9,3,6,0.09,1.185,0.42,0
9274251,4,6,8,9,1,0.12,1.156,0.095,0
1174326,8,7,4,8,3,0.415,1.185,1.544,1
2009275,2,1,9,9,12,0.548,1.375,0.991,0
2942020,5,3,3,8,1,0.361,0.142,1.747,1
6183952,1,4,6,9,12,0.195,0.112,0.548,1
8467932,4,9,4,5,7,0.505,0.727,1.128,0
3635448,8,5,5,2,13,0.461,0.034,0.32,1
4013385,5,5,6,9,9,0.702,-0.121,0.059,1
4913035,6,4,7,9,9,0.093,1.055,1.411,0
5633655,4,1,8,2,11,0.921,-0.019,1.085,1
4247114,9,9,7,9,2,0.654,0.205,0.817,0
8941198,2,3,5,7,8,0.063,0.128,1.395,0
3522101,1,6,7,6,7,0.211,1.34,1.479,1
3268148,3,3,1,4,7,0.054,0.803,0.942,1
6818713,2,4,7,1,7,0.394,0.247,1.822,1
3436645,2,4,2,9,10,0.94,-0.018,1.126,1
7320569,9,2,7,2,7,0.114,1.086,0.212,0
1353318,5,3,9,4,9,0.743,1.201,1.51,1
6198786,7,5,8,2,5,0.394,-0.074,1.364,1
1358603,7,5,9,1,7,0.907,-0.205,1.849,1
6522453,3,4,1,4,3,0.49,1.429,0.895,0
6204892,1,2,3,3,14,0.654,0.118,0.858,1
9820715,1,2,3,4,9,0.574,0.318,1.325,1
5455953,7,8,7,6,12,0.314,1.324,0.53,0
8988924,7,7,8,9,2,0.286,-0.041,0.125,0
452251,9,4,4,8,9,0.179,0.724,1.391,1
5304877,5,7,7,1,9,0.888,1.443,1.766,0
2922415,8,6,8,2,10,0.537,-0.12,1.976,1
3545793,8,5,4,9,13,0.894,0.193,1.451,1
937713,4,9,5,6,4,0.484,0.158,1.602,1
6291357,4,6,3,8,10,0.121,0.304,1.758,0
