sector,stage,country,funding,team_size,team_experience,market_size_bn,burn_rate,revenue_growth,customer_count,nps_score,patent_count,competition_level,business_model_score,months_since_founding,runway_months,success
CleanTech,Seed,France,1516462,23,9,321.33,419462,0.574,35191,31,29,8,9,15,28,1
EdTech,Seed,USA,1637317,149,9,138.41,34996,3.924,6728,35,22,3,5,50,28,1
Cybersecurity,Series A,USA,10358862,83,8,109.12,323456,2.922,33744,42,17,5,6,36,29,1
E-Commerce,Pre-Seed,Singapore,367188,130,9,127.46,668425,0.322,22881,47,26,5,3,32,20,0
CleanTech,Seed,Canada,2666354,31,4,245.58,282611,4.723,12801,-1,1,2,5,21,11,1
BioTech,Series A,India,3299189,127,6,483.07,251452,0.206,10548,33,18,9,5,66,23,0
HealthTech,Seed,Brazil,2814546,98,5,416.2,686367,3.052,32886,-20,23,4,2,68,20,1
CleanTech,Seed,Australia,2059049,25,5,142.66,733439,2.004,34310,69,9,9,6,119,20,0
Cybersecurity,Series B,Canada,47707979,15,4,182.0,300846,2.694,19427,77,24,9,9,59,11,1
E-Commerce,Series A,Germany,9136821,37,2,232.52,628657,0.909,972,-11,28,2,7,46,2,0
EdTech,Pre-Seed,Israel,207699,25,12,489.48,609857,3.378,33683,2,29,9,8,14,13,1
Cybersecurity,Seed,France,2874494,96,6,86.61,326096,4.791,6621,30,2,9,2,42,13,0
Cybersecurity,Seed,Brazil,1355953,56,9,179.06,568457,2.184,26013,3,24,2,9,110,15,1
HealthTech,Seed,Canada,1004655,25,12,364.85,26829,2.519,49738,-8,27,6,3,26,31,1
AI/ML,Seed,Canada,736824,27,1,481.99,14522,1.047,14530,8,11,9,5,13,23,0
E-Commerce,Seed,France,1567979,81,14,78.26,438535,4.438,7354,37,25,4,7,68,22,1
FinTech,Seed,Singapore,853699,66,7,114.08,392478,4.85,46529,70,15,2,4,3,16,0
Cybersecurity,Seed,India,2188124,76,6,113.23,128576,3.889,37359,74,11,7,7,60,29,0
AI/ML,Series A,India,7166289,44,3,10.96,506336,2.622,23223,22,7,9,8,30,20,0
FinTech,Series A,Canada,14115434,30,1,302.26,171545,4.775,41232,-11,4,6,4,70,28,0
E-Commerce,Pre-Seed,UK,283378,82,13,335.52,78165,0.6,12550,10,10,4,5,107,27,1
SaaS,Seed,Canada,2995997,55,4,301.46,443671,2.288,22660,53,9,1,3,96,29,1
BioTech,Pre-Seed,Canada,143246,40,14,36.13,609980,2.596,31029,67,2,4,5,61,5,0
AI/ML,Seed,France,1644440,43,9,35.08,551729,2.358,30268,76,26,3,8,73,2,1
Gaming,Series A,Israel,11597494,30,2,105.59,40716,3.973,47119,-7,22,7,3,24,20,1
SaaS,Pre-Seed,France,320561,132,3,145.5,596463,3.286,26340,78,8,5,5,92,13,0
BioTech,Seed,Brazil,1929608,139,2,393.38,16834,0.459,4290,13,11,3,1,31,26,0
HealthTech,Pre-Seed,Canada,215837,143,14,80.12,526853,1.602,30138,-4,5,2,2,91,35,1
CleanTech,Pre-Seed,India,386643,43,2,22.52,271609,1.563,6446,0,18,2,3,76,8,0
EdTech,Seed,Australia,2784798,95,10,197.3,28179,2.741,13432,75,15,5,1,86,28,0
Gaming,Seed,India,1520332,33,11,208.49,298363,1.316,1522,46,20,8,9,80,15,1
HealthTech,Series C,USA,157301231,27,11,225.73,113153,0.41,33329,37,22,8,9,99,8,1
