Payment_ID,Trip_ID,Payment_Status,Platform_Commission
P001,T001,Success,32
P002,T002,Success,60
P003,T003,Success,90
P004,T004,Failed,24
P005,T005,Success,50
P006,T006,Success,120
P007,T007,Failed,28
P008,T008,Success,100
P009,T009,Success,40
P010,T010,Success,30
P011,T011,Success,80
P012,T012,Success,56
P013,T013,Success,96
P014,T014,Failed,20
P015,T015,Success,130
P016,T016,Success,26
P017,T017,Success,64
P018,T018,Success,104
P019,T019,Success,36
P020,T020,Success,110
P021,T021,Success,52
P022,T022,Failed,30
P023,T023,Success,140
P024,T024,Success,60
P025,T025,Success,44
P026,T026,Success,84
P027,T027,Success,108
P028,T028,Success,34
P029,T029,Success,90
P030,T030,Success,58
