Trip_ID,Driver_ID,Rider_ID,City,Trip_Date,Distance_km,Fare_Amount,Trip_Status,Payment_Method
T001,D001,R001,Ahmedabad,2026-02-01,8,160,Completed,UPI
T002,D002,R002,Delhi,2026-02-02,12,300,Completed,Card
T003,D003,R003,Mumbai,2026-02-03,15,450,Completed,Cash
T004,D004,R004,Bangalore,2026-02-04,5,120,Cancelled,UPI
T005,D005,R005,Pune,2026-02-05,10,250,Completed,Card
T006,D006,R006,Ahmedabad,2026-02-06,20,600,Completed,UPI
T007,D007,R007,Delhi,2026-02-07,7,140,Cancelled,Cash
T008,D008,R008,Mumbai,2026-02-08,18,500,Completed,Card
T009,D009,R009,Bangalore,2026-02-09,9,200,Completed,UPI
T010,D010,R010,Pune,2026-02-10,6,150,Completed,Cash
T011,D011,R011,Ahmedabad,2026-02-11,14,400,Completed,Card
T012,D012,R012,Delhi,2026-02-12,11,280,Completed,UPI
T013,D013,R013,Mumbai,2026-02-13,16,480,Completed,Cash
T014,D014,R014,Bangalore,2026-02-14,4,100,Cancelled,UPI
T015,D015,R015,Pune,2026-02-15,22,650,Completed,Card
T016,D016,R016,Ahmedabad,2026-02-16,5,130,Completed,UPI
T017,D017,R017,Delhi,2026-02-17,13,320,Completed,Card
T018,D018,R018,Mumbai,2026-02-18,17,520,Completed,Cash
T019,D019,R019,Bangalore,2026-02-19,8,180,Completed,UPI
T020,D020,R020,Pune,2026-02-20,19,550,Completed,Card
T021,D021,R021,Ahmedabad,2026-02-21,10,260,Completed,Cash
T022,D022,R022,Delhi,2026-02-22,6,150,Cancelled,UPI
T023,D023,R023,Mumbai,2026-02-23,21,700,Completed,Card
T024,D024,R024,Bangalore,2026-02-24,12,300,Completed,UPI
T025,D025,R025,Pune,2026-02-25,9,220,Completed,Cash
T026,D003,R001,Mumbai,2026-02-26,14,420,Completed,UPI
T027,D006,R005,Ahmedabad,2026-02-26,18,540,Completed,Card
T028,D011,R006,Ahmedabad,2026-02-27,7,170,Completed,Cash
T029,D020,R015,Pune,2026-02-27,15,450,Completed,UPI
T030,D008,R018,Mumbai,2026-02-27,11,290,Completed,Card
