 Afghanistan | Cases: 234174| Recoveres: 211080| Daths: 7996
Albania | Cases: 334863| Recoveres: 330233| Daths: 3605
Algeria | Cases: 272010| Recoveres: 183061| Daths: 6881
Andorra | Cases: 48015| Recoveres: 0| Daths: 165
Angola | Cases: 107327| Recoveres: 103419| Daths: 1937
Anguilla | Cases: 3904| Recoveres: 0| Daths: 12
Antigua and Barbuda | Cases: 9106| Recoveres: 8954| Daths: 146
Argentina | Cases: 10128845| Recoveres: 9997258| Daths: 130841
Armenia | Cases: 451831| Recoveres: 435162| Daths: 8777
Aruba | Cases: 44224| Recoveres: 42438| Daths: 292
Australia | Cases: 11853144| Recoveres: 11820014| Daths: 24414
Austria | Cases: 6081287| Recoveres: 6054934| Daths: 22542
Azerbaijan | Cases: 835234| Recoveres: 824089| Daths: 10400
Bahamas | Cases: 38084| Recoveres: 36366| Daths: 844
Bahrain | Cases: 729549| Recoveres: 727915| Daths: 1574
Bangladesh | Cases: 2049377| Recoveres: 0| Daths: 29493
Barbados | Cases: 110578| Recoveres: 108647| Daths: 648
Belarus | Cases: 994037| Recoveres: 985592| Daths: 7118
Belgium | Cases: 4861695| Recoveres: 4826798| Daths: 34376
Belize | Cases: 71409| Recoveres: 0| Daths: 688
Benin | Cases: 28036| Recoveres: 27847| Daths: 163
Bermuda | Cases: 18860| Recoveres: 18685| Daths: 165
Bhutan | Cases: 62697| Recoveres: 61564| Daths: 21
Bolivia | Cases: 1212131| Recoveres: 1177145| Daths: 22407
Bosnia | Cases: 403615| Recoveres: 379084| Daths: 16388
Botswana | Cases: 330638| Recoveres: 327049| Daths: 2801
Brazil | Cases: 38743918| Recoveres: 36249161| Daths: 711380
British Virgin Islands | Cases: 7392| Recoveres: 0| Daths: 64
Brunei | Cases: 343719| Recoveres: 243601| Daths: 225
Bulgaria | Cases: 1339851| Recoveres: 1292944| Daths: 38748
Burkina Faso | Cases: 22114| Recoveres: 21596| Daths: 400
Burundi | Cases: 54721| Recoveres: 53569| Daths: 38
Cabo Verde | Cases: 64477| Recoveres: 63755| Daths: 417
Cambodia | Cases: 139103| Recoveres: 136044| Daths: 3056
Cameroon | Cases: 125379| Recoveres: 123280| Daths: 1974
Canada | Cases: 4946090| Recoveres: 4881312| Daths: 59034
Caribbean Netherlands | Cases: 11682| Recoveres: 10476| Daths: 38
Cayman Islands | Cases: 31472| Recoveres: 8553| Daths: 37
