Order_ID,Customer_Name,Restaurant,City,Food_Item,Category,Price,Quantity,Delivery_Time_Minutes,Distance_km,Rating,Payment_Method,Order_Status
FD101,Amit,Spice Hub,Mumbai,Burger,FastFood,250,2,30,4,4.5,UPI,Delivered
FD102,Neha,Pizza Point,Delhi,Pizza,FastFood,500,1,45,8,4.7,Card,Delivered
FD103,Raj,Curry House,Bangalore,Biryani,MainCourse,350,2,,6,4.2,Cash,Delivered
FD104,Priya,Spice Hub,Mumbai,Pasta,MainCourse,-450,1,25,3,3.8,UPI,Delivered
FD105,Karan,Burger Town,Delhi,Burger,FastFood,200,0,35,5,4.1,Card,Cancelled
FD106,Simran,Sushi Bar,Bangalore,Sushi,MainCourse,800,1,60,12,4.9,UPI,Delivered
FD107,Rahul,Pizza Point,Mumbai,Pizza,FastFood,,2,40,7,good,Cash,Delivered
FD108,Anjali,Curry House,Delhi,Paneer,MainCourse,300,-1,55,10,4.0,Card,Delivered
FD109,Vikram,Burger Town,Bangalore,Burger,FastFood,220,2,20,3,6.5,UPI,Delivered
FD110,Sneha,Sushi Bar,Mumbai,Sushi,MainCourse,900,1,75,15,4.8,Cash,Pending
FD111,Arjun,Pizza Point,Delhi,Pizza,FastFood,abc,1,30,5,4.3,UPI,Delivered
FD112,Riya,Spice Hub,Bangalore,Biryani,MainCourse,400,2,90,18,4.1,Card,Delivered
FD113,Kabir,Burger Town,Mumbai,Burger,FastFood,180,3,25,2,,Cash,Delivered
FD114,Meera,Sushi Bar,Delhi,Sushi,MainCourse,950,1,,9,4.6,UPI,Cancelled
FD115,Rohan,Curry House,Bangalore,Paneer,MainCourse,320,2,50,7,2.5,Card,Delivered
FD116,Isha,Pizza Point,Mumbai,Pizza,FastFood,520,1,28,4,3.2,UPI,Delivered
FD117,Dev,Spice Hub,Delhi,Pasta,MainCourse,-300,1,35,6,4.4,Cash,Delivered
FD118,Tina,Burger Town,Bangalore,Burger,FastFood,210,2,22,3,4.0,Card,Delivered
FD119,Kunal,Sushi Bar,Mumbai,Sushi,MainCourse,850,,65,11,4.7,UPI,Pending
FD120,Pooja,Curry House,Delhi,Biryani,MainCourse,380,2,45,8,,Card,Delivered
FD121,Aman,Pizza Point,Bangalore,Pizza,FastFood,480,1,38,6,4.5,UPI,Delivered
FD122,Nikita,Spice Hub,Mumbai,Biryani,MainCourse,420,2,33,5,4.2,Cash,Delivered
FD123,Rahul,Burger Town,Delhi,Burger,FastFood,190,2,27,4,3.5,Card,Delivered
FD124,Ananya,Sushi Bar,Bangalore,Sushi,MainCourse,1000,1,80,16,4.9,UPI,Delivered
FD125,Varun,Curry House,Mumbai,Paneer,MainCourse,310,2,50,7,2.0,Cash,Cancelled
FD126,Sanya,Pizza Point,Delhi,Pizza,FastFood,510,1,42,8,4.6,Card,Delivered
FD127,Arpit,Spice Hub,Bangalore,Pasta,MainCourse,390,2,60,10,4.3,UPI,Delivered
FD128,Divya,Burger Town,Mumbai,Burger,FastFood,200,1,25,3,3.9,Cash,Delivered
FD129,Kriti,Sushi Bar,Delhi,Sushi,MainCourse,920,1,70,14,4.8,Card,Delivered
FD130,Rakesh,Curry House,Bangalore,Biryani,MainCourse,360,2,48,7,4.1,UPI,Delivered
FD131,Alok,Pizza Point,Mumbai,Pizza,FastFood,530,1,31,5,4.4,Cash,Delivered
FD132,Shreya,Spice Hub,Delhi,Biryani,MainCourse,410,2,34,6,4.2,Card,Delivered
FD133,Mohit,Burger Town,Bangalore,Burger,FastFood,230,2,24,3,4.1,UPI,Delivered
FD134,Palak,Sushi Bar,Mumbai,Sushi,MainCourse,870,1,68,13,4.6,Cash,Pending
FD135,Yash,Curry House,Delhi,Paneer,MainCourse,300,2,52,9,3.0,Card,Delivered
FD136,Tanvi,Pizza Point,Bangalore,Pizza,FastFood,495,1,36,6,4.5,UPI,Delivered
FD137,Ronit,Spice Hub,Mumbai,Pasta,MainCourse,380,2,29,4,4.3,Cash,Delivered
FD138,Ira,Burger Town,Delhi,Burger,FastFood,210,2,26,3,4.0,Card,Delivered
FD139,Sahil,Sushi Bar,Bangalore,Sushi,MainCourse,980,1,85,17,4.9,UPI,Delivered
FD140,Neel,Curry House,Mumbai,Biryani,MainCourse,340,2,47,8,2.8,Cash,Cancelled
