Name,Study_Hours,Quiz_Scores,Attendance,Screen_Time,Engagement_Score,Risk_Level
Professional_1,61,4,97,11.06098787718554,3,2
Professional_2,24,89,69,6.343943655104287,10,1
Professional_3,70,13,85,5.500784076946757,3,2
Professional_4,30,26,10,8.451033620305648,5,2
Professional_5,33,8,15,8.689240596630997,6,2
Professional_6,12,78,96,10.64167565071903,9,1
Professional_7,31,14,72,4.301852682415553,5,1
Professional_8,62,89,58,6.991933798847523,1,2
Professional_9,11,41,69,7.720041992091831,4,2
Professional_10,39,76,79,9.68554014306309,5,1
Professional_11,47,50,92,2.4360377175443375,10,0
Professional_12,11,62,2,11.94550510797341,10,2
Professional_13,73,95,19,6.69944513990943,5,1
Professional_14,69,51,58,4.795603417967586,7,1
Professional_15,30,95,35,10.83494022266259,4,2
Professional_16,42,3,18,9.47718773897414,1,2
Professional_17,67,93,89,11.530718470239531,5,1
Professional_18,31,22,66,5.307503046705137,7,2
Professional_19,58,14,18,7.527649668354899,10,2
Professional_20,68,42,19,7.722924691708383,10,2
Professional_21,51,28,95,11.803315837160456,6,2
Professional_22,69,35,70,2.753462560061282,5,1
Professional_23,24,12,51,5.056970192871819,4,2
Professional_24,71,31,32,3.9091103115034604,2,2
Professional_25,71,70,39,4.684748568901568,4,1
Professional_26,56,58,38,6.852798742763157,10,1
Professional_27,71,85,81,5.726868670940493,10,0
Professional_28,60,27,0,5.946914668094722,3,2
Professional_29,64,65,10,10.442131407263114,10,2
Professional_30,73,41,91,11.300168348108318,1,2
Professional_31,12,44,56,2.704161308495439,8,2
Professional_32,60,61,88,4.089187176153602,5,0
Professional_33,16,56,49,8.711435168240506,4,2
Professional_34,30,5,22,5.586467812961639,8,2
Professional_35,48,27,30,4.541636490697387,7,2
Professional_36,27,27,93,4.952905884189388,2,2
Professional_37,13,43,41,5.225507642386005,1,2
Professional_38,69,83,98,10.486697949246745,4,1
Professional_39,23,29,6,3.366213314420288,8,2
Professional_40,18,61,15,9.089109969101186,2,2
Professional_41,62,74,89,7.528199769079078,3,1
Professional_42,11,91,59,4.965101436477985,1,2
Professional_43,69,88,1,6.197808564462765,1,2
Professional_44,53,61,0,4.562069435944581,3,2
Professional_45,17,96,47,8.115137108656805,5,2
Professional_46,56,0,11,2.815941804002404,3,2
Professional_47,44,26,68,2.0518486277398678,1,2
Professional_48,45,61,36,8.27894414948636,1,2
Professional_49,59,76,31,3.942739535120422,8,1
Professional_50,13,2,8,2.709409169999277,10,2
Professional_51,11,69,98,5.967838272138884,2,1
Professional_52,15,71,18,2.5076853103939696,3,2
Professional_53,63,26,47,10.866171489506598,2,2
Professional_54,13,8,79,2.276167718737047,3,2
Professional_55,63,61,2,7.788648955075587,7,1
Professional_56,72,36,19,6.38474123018087,1,2
Professional_57,27,96,23,8.720261352951994,10,2
Professional_58,53,50,53,5.281526674747319,8,1
Professional_59,43,43,32,3.550416167277442,10,2
Professional_60,71,23,23,11.818408883105311,10,2
Professional_61,23,78,74,10.389335020693633,10,1
Professional_62,57,58,71,10.604046183116752,2,1
Professional_63,24,31,35,4.50251360515864,3,2
Professional_64,71,95,37,2.388347344294232,9,1
Professional_65,49,87,83,5.032655146732228,7,0
Professional_66,62,51,98,7.370824271966555,4,0
Professional_67,33,61,88,5.266512417960409,10,0
Professional_68,35,57,98,10.278690037875887,5,1
Professional_69,69,51,24,4.715429158197419,2,2
Professional_70,50,11,92,11.652518303907698,8,2
Professional_71,38,38,17,6.572651616137286,4,2
Professional_72,24,1,81,10.420230750119813,9,2
Professional_73,54,2,65,3.94380033994873,5,2
Professional_74,74,55,53,6.113539050566786,9,1
Professional_75,18,80,34,8.99512210767194,4,2
Professional_76,10,58,79,3.3835309241780136,10,0
Professional_77,17,1,60,3.327454222429698,5,2
Professional_78,72,1,40,11.69536867114159,9,2
Professional_79,20,91,99,9.14595104179952,8,1
Professional_80,17,53,32,2.410675167678758,3,2
Professional_81,44,86,67,5.988209014447945,1,2
Professional_82,44,95,32,6.33520737580742,3,2
Professional_83,42,96,13,9.440426429991154,4,2
Professional_84,14,0,20,4.508605273466612,2,2
Professional_85,50,18,47,3.8433367433137002,1,2
Professional_86,37,1,19,2.8087296661719767,7,2
Professional_87,16,52,7,6.283144749401078,8,1
Professional_88,21,43,6,8.884999007653665,7,2
Professional_89,43,89,66,2.581935955084436,5,1
Professional_90,42,31,16,11.152137276264805,1,2
Professional_91,57,69,32,6.423522297311044,7,1
Professional_92,32,31,47,4.397873591574032,7,2
Professional_93,71,67,75,2.9387329008129175,9,0
Professional_94,46,54,58,3.8286599710730735,3,2
Professional_95,53,74,85,11.346139973397097,9,1
Professional_96,44,55,21,8.382705938433503,1,2
Professional_97,74,16,29,7.166962574265667,1,2
Professional_98,56,37,37,8.571113285001669,4,2
Professional_99,12,23,50,6.3567289867789105,9,2
Professional_100,10,68,53,9.300393165618186,6,2
